country,hepatitis_B,polio,diphtheria ,under_five_deaths ,life_expectancy ,total_expenditure,population,year
Japan,97,99,96,3,83.7,6.47,127141,2015
Japan,97,99,96,3,83.5,1.23,127276,2014
Japan,97,99,96,3,83.5,1.25,127445,2013
Japan,98,99,97,3,83.3,1.17,127629,2012
Japan,96,96,97,4,82.5,1.7,127833,2011
Japan,98,98,97,4,83,9.58,1287,2010
Japan,98,99,97,4,83,9.51,12847,2009
Japan,98,98,98,4,82.7,8.6,12863,2008
Japan,97,97,98,4,82.6,8.25,1281,2007
Japan,95,95,98,4,82.4,8.19,127854,2006
Japan,95,95,98,4,82,8.18,127773,2005
Japan,97,97,99,4,82.1,8.3,127761,2004
Japan,97,97,97,5,81.9,8,127718,2003
Japan,89,89,96,5,81.8,7.85,127445,2002
Japan,81,81,95,5,81.5,7.75,127149,2001
Japan,98,98,85,5,81.1,7.53,126843,2000
Singapore,96,96,96,0,83.1,3.69,4027887,2015
Singapore,96,96,96,0,82.9,4.92,4138012,2014
Singapore,97,97,97,0,82.7,4.53,4175950,2013
Singapore,97,97,97,0,82.5,4.22,4114826,2012
Singapore,96,96,96,0,82.2,3.93,4166664,2011
Singapore,96,96,96,0,82,3.96,4265762,2010
Singapore,96,97,97,0,81.7,4.27,4401365,2009
Singapore,97,97,97,0,81.4,3.91,4588599,2008
Singapore,96,97,97,0,81.1,3.46,4839396,2007
Singapore,95,95,95,0,87,3.66,4987573,2006
Singapore,96,96,96,0,82,3.74,5076732,2005
Singapore,94,95,95,0,79.7,3.17,5183688,2004
Singapore,95,96,96,0,79.3,3.63,5312437,2003
Singapore,95,94,94,0,79,2.84,5399162,2002
Singapore,95,95,96,0,78.7,2.37,5469724,2001
Singapore,97,98,98,0,78.3,2.71,5535002,2000
Republic of Korea,98,98,98,2,82.3,5.91,47008111,2015
Republic of Korea,99,99,99,2,82,7.37,47370164,2014
Republic of Korea,99,99,99,2,81.7,7.2,47644736,2013
Republic of Korea,99,99,99,2,81.2,7.1,47892330,2012
Republic of Korea,99,98,99,2,81.1,6.83,48082519,2011
Republic of Korea,94,95,94,2,87,6.79,48184561,2010
Republic of Korea,94,95,94,2,86,6.66,48438292,2009
Republic of Korea,94,92,94,2,83,6.16,48683638,2008
Republic of Korea,91,91,91,2,79.8,5.99,49054708,2007
Republic of Korea,99,98,98,2,79.4,5.76,49307835,2006
Republic of Korea,99,96,96,3,78.7,5.33,49554112,2005
Republic of Korea,92,9,88,3,78.2,4.96,49936638,2004
Republic of Korea,91,94,97,3,77.6,4.93,50199853,2003
Republic of Korea,92,99,97,4,77.1,4.61,50428893,2002
Republic of Korea,89,99,97,4,76.7,4.76,50746659,2001
Republic of Korea,93,99,97,4,76,4.23,51014947,2000
Cyprus,97,97,97,0,85,6.76,116985,2015
Cyprus,96,99,99,0,83,7.37,115239,2014
Cyprus,96,99,99,0,81,7.46,1143896,2013
Cyprus,96,99,99,0,80,7.44,113562,2012
Cyprus,96,99,99,0,79.7,7.54,1124835,2011
Cyprus,96,99,99,0,79.5,7.23,111267,2010
Cyprus,96,99,99,0,79.3,7.4,19876,2009
Cyprus,93,97,97,0,79.1,6.89,181563,2008
Cyprus,93,97,97,0,78.9,6.5,163712,2007
Cyprus,93,97,97,0,78.8,6.28,14559,2006
