country,hepatitis_B,polio,diphtheria ,under_five_deaths ,life_expectancy ,total_expenditure,population,year,
Afghanistan,65,6,65,83,65,8.16,33736494,2015,
Afghanistan,62,58,62,86,59.9,8.18,327582,2014,
Afghanistan,64,62,64,89,59.9,8.13,31731688,2013,
Afghanistan,67,67,67,93,59.5,8.52,3696958,2012,
Afghanistan,68,68,68,97,59.2,7.87,2978599,2011,
Afghanistan,66,66,66,102,58.8,9.2,2883167,2010,
Afghanistan,63,63,63,106,58.6,9.42,284331,2009,
Afghanistan,64,64,64,110,58.1,8.33,2729431,2008,
Afghanistan,63,63,63,113,57.5,6.73,26616792,2007,
Afghanistan,64,58,58,116,57.3,7.43,2589345,2006,
Afghanistan,66,58,58,118,57.3,8.7,257798,2005,
Afghanistan,67,5,5,120,57,8.79,24118979,2004,
Afghanistan,65,41,41,122,56.7,8.82,2364851,2003,
Afghanistan,64,36,36,122,56.2,7.76,21979923,2002,
Afghanistan,63,35,33,122,55.3,7.8,2966463,2001,
Afghanistan,62,24,24,122,54.8,8.2,293756,2000,
Armenia,94,96,94,1,74.8,4.86,291695,2015,
Armenia,93,95,93,1,74.6,4.48,29622,2014,
Armenia,95,96,95,1,74.4,4.55,289359,2013,
Armenia,95,96,95,1,74.4,4.48,2881922,2012,
Armenia,95,96,95,1,73.9,3.71,2875581,2011,
Armenia,94,96,94,1,73.5,4.56,2877311,2010,
Armenia,93,94,93,1,73.3,4.55,2888584,2009,
Armenia,89,91,89,1,73.2,3.8,29822,2008,
Armenia,85,9,88,1,73.5,4.31,293356,2007,
Armenia,78,87,87,1,72.9,4.58,29585,2006,
Armenia,91,92,9,1,73,5.25,2981259,2005,
Armenia,91,93,91,1,73,5.5,3612,2004,
Armenia,93,96,94,1,72.7,5.56,31786,2003,
Armenia,91,96,94,1,72.6,5.4,333897,2002,
Armenia,69,97,94,1,72.6,5.94,35655,2001,
Armenia,55,96,93,1,72,6.25,369588,2000,
Azerbaijan,96,98,96,6,72.7,5.68,9649341,2015,
Azerbaijan,94,97,94,6,72.5,6.4,953579,2014,
